Rifugio G. Bertone,Hôtel Lavachey,195
Rifugio G. Bertone,Hotel Chalet Val Ferret,225
Rifugio G. Bertone,Gîte Alpage de La Peule,415
Rifugio G. Bertone,Hotel du Col de Fenêtre,480
Rifugio G. Bertone,Gîte La Léchère,500
Rifugio G. Bertone,Maya-Joie,515
Rifugio G. Bertone,Chalet 'Le Dolent',515
Rifugio G. Bertone,Gîte de La Fouly,520
Rifugio G. Bertone,Hôtel Edelweiss,520
Rifugio G. Bertone,Auberge des Glaciers,520
Rifugio G. Bertone,Pension en Plein Air,755
Rifugio G. Bertone,Chalet La Grange,770
Rifugio G. Bertone,Auberge Gîte Bon Abri,770
Rifugio G. Bertone,Relais d'Arpette,800
Rifugio G. Bertone,Hotel Funivia,120
Rifugio G. Bertone,Gite le Randonneur du Mont Blanc,205
Rifugio G. Bertone,Rifugio Maison Vieille,215
Rifugio G. Bertone,Rifugio Monte Bianco CAI Uget,265
Rifugio G. Bertone,Cabane du Combal,320
Rifugio G. Bertone,Refuge des Mottets,535
Rifugio G. Bertone,Les Chambres du Soleil,615
Rifugio G. Bertone,Auberge-Refuge de la Nova,615
Hotel Funivia,Rifugio G. Bertone,80
Hotel Funivia,Hôtel Lavachey,275
Hotel Funivia,Hotel Chalet Val Ferret,355
Hotel Funivia,Gîte Alpage de La Peule,495
Hotel Funivia,Hotel du Col de Fenêtre,560
Hotel Funivia,Gîte La Léchère,580
Hotel Funivia,Maya-Joie,595
Hotel Funivia,Chalet 'Le Dolent',595
Hotel Funivia,Gîte de La Fouly,600
Hotel Funivia,Hôtel Edelweiss,600
Hotel Funivia,Auberge des Glaciers,600
Hotel Funivia,Pension en Plein Air,835
Hotel Funivia,Auberge Gîte Bon Abri,850
Hotel Funivia,Chalet La Grange,850
Hotel Funivia,Gite le Randonneur du Mont Blanc,85
Hotel Funivia,Rifugio Maison Vieille,95
Hotel Funivia,Rifugio Monte Bianco CAI Uget,145
Hotel Funivia,Cabane du Combal,250
